cell_type,perturbation_pct,peak,class_id,class_name,count,mean_nm,std_nm
malaria_stages_blood,0.5,1,0,normal,1000,723.00,0.00
malaria_stages_blood,0.5,1,1,ring,1000,720.90,0.00
malaria_stages_blood,0.5,1,2,trophozoite,1000,717.70,0.00
malaria_stages_blood,0.5,1,3,schizont,1000,715.20,0.00
malaria_stages_blood,0.5,2,0,normal,1000,753.70,0.00
malaria_stages_blood,0.5,2,1,ring,1000,750.80,0.00
malaria_stages_blood,0.5,2,2,trophozoite,1000,745.90,0.00
malaria_stages_blood,0.5,2,3,schizont,1000,741.90,0.00
malaria_stages_blood,0.5,3,0,normal,1000,793.20,0.00
malaria_stages_blood,0.5,3,1,ring,1000,789.80,0.00
malaria_stages_blood,0.5,3,2,trophozoite,1000,784.10,0.00
malaria_stages_blood,0.5,3,3,schizont,1000,779.40,0.00
malaria_stages_blood,0.5,4,0,normal,1000,839.60,0.00
malaria_stages_blood,0.5,4,1,ring,1000,835.90,0.00
malaria_stages_blood,0.5,4,2,trophozoite,1000,829.70,0.00
malaria_stages_blood,0.5,4,3,schizont,1000,824.40,0.00
malaria_stages_blood,0.5,5,0,normal,1000,893.10,0.00
malaria_stages_blood,0.5,5,1,ring,1000,889.10,0.00
malaria_stages_blood,0.5,5,2,trophozoite,1000,882.30,0.00
malaria_stages_blood,0.5,5,3,schizont,1000,876.60,0.00
