cell_type,perturbation_pct,peak,class_id,class_name,count,mean_nm,std_nm
malaria_stages_blood,0.5,1,0,normal,2500,994.05,11.03
malaria_stages_blood,0.5,1,1,ring,2500,995.44,11.89
malaria_stages_blood,0.5,1,2,trophozoite,2500,993.49,13.35
malaria_stages_blood,0.5,1,3,schizont,2500,986.87,13.50
malaria_stages_blood,0.5,2,0,normal,2500,1110.08,30.58
malaria_stages_blood,0.5,2,1,ring,2500,1094.64,44.84
malaria_stages_blood,0.5,2,2,trophozoite,2500,1069.74,54.22
malaria_stages_blood,0.5,2,3,schizont,2500,1047.24,54.09
malaria_stages_blood,0.5,3,0,normal,2500,1159.94,13.18
malaria_stages_blood,0.5,3,1,ring,2500,1153.89,19.71
malaria_stages_blood,0.5,3,2,trophozoite,2500,1143.54,24.25
malaria_stages_blood,0.5,3,3,schizont,2500,1133.42,24.21
malaria_stages_blood,0.5,4,0,normal,2500,1215.75,15.33
malaria_stages_blood,0.5,4,1,ring,2500,1207.26,21.82
malaria_stages_blood,0.5,4,2,trophozoite,2500,1193.62,25.08
malaria_stages_blood,0.5,4,3,schizont,2500,1181.87,23.50
malaria_stages_blood,0.5,5,0,normal,2500,1435.13,114.49
malaria_stages_blood,0.5,5,1,ring,2500,1395.68,130.42
malaria_stages_blood,0.5,5,2,trophozoite,2500,1332.08,131.64
malaria_stages_blood,0.5,5,3,schizont,2500,1273.07,104.86
