cell_type,perturbation_pct,peak,class_id,class_name,count,mean_nm,std_nm
malaria_stages_blood,0.5,1,0,normal,2500,1085.94,56.15
malaria_stages_blood,0.5,1,1,ring,2500,1087.27,54.97
malaria_stages_blood,0.5,1,2,trophozoite,2500,1084.90,57.82
malaria_stages_blood,0.5,1,3,schizont,2500,1043.38,80.77
malaria_stages_blood,0.5,2,0,normal,2500,1202.76,38.53
malaria_stages_blood,0.5,2,1,ring,2500,1202.80,37.10
malaria_stages_blood,0.5,2,2,trophozoite,2500,1199.74,37.83
malaria_stages_blood,0.5,2,3,schizont,2500,1172.38,51.49
malaria_stages_blood,0.5,3,0,normal,2500,1245.90,11.41
malaria_stages_blood,0.5,3,1,ring,2500,1243.68,10.54
malaria_stages_blood,0.5,3,2,trophozoite,2500,1239.03,10.04
malaria_stages_blood,0.5,3,3,schizont,2500,1229.43,13.44
malaria_stages_blood,0.5,4,0,normal,2500,1294.53,1.75
malaria_stages_blood,0.5,4,1,ring,2500,1292.65,1.74
malaria_stages_blood,0.5,4,2,trophozoite,2500,1289.50,1.65
malaria_stages_blood,0.5,4,3,schizont,2500,1286.91,1.62
malaria_stages_blood,0.5,5,0,normal,2500,1541.71,5.94
malaria_stages_blood,0.5,5,1,ring,2500,1538.80,5.68
malaria_stages_blood,0.5,5,2,trophozoite,2500,1533.29,5.83
malaria_stages_blood,0.5,5,3,schizont,2500,1529.01,5.44
