cell_type,perturbation_pct,peak,class_id,class_name,count,mean_nm,std_nm
malaria_stages_blood,0.5,1,0,normal,5000,1087.37,54.67
malaria_stages_blood,0.5,1,1,ring,5000,1087.87,54.33
malaria_stages_blood,0.5,2,0,normal,5000,1203.73,37.50
malaria_stages_blood,0.5,2,1,ring,5000,1203.21,36.65
malaria_stages_blood,0.5,3,0,normal,5000,1246.16,11.13
malaria_stages_blood,0.5,3,1,ring,5000,1243.76,10.43
malaria_stages_blood,0.5,4,0,normal,5000,1294.50,1.77
malaria_stages_blood,0.5,4,1,ring,5000,1292.63,1.73
malaria_stages_blood,0.5,5,0,normal,5000,1541.73,5.85
malaria_stages_blood,0.5,5,1,ring,5000,1538.64,5.80
